Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Adnan Januzaj;RSO;1098001.098;22;71%;0;0%;12;39%;22;71%;3;0;0;3;0;0;22
Adrián;DEP;1942001.942;24;77%;17;55%;21;68%;7;23%;0;0;0;7;0;0;48
Aduriz;ATH;1829001.829;28;90%;12;39%;18;58%;16;52%;5;0;0;8;3;0;18
Agirretxe;RSO;15600156;9;29%;1;3%;1;3%;8;26%;0;0;0;0;0;0;0
Alcácer;BAR;56500565;13;42%;0;0%;7;23%;13;42%;0;0;0;3;0;0;1
Amath;GET;2321002.321;30;97%;9;29%;29;94%;21;68%;7;0;0;2;0;0;21
Amrabat;LEG;1344001.344;25;81%;6;19%;14;45%;19;61%;4;1;1;1;0;0;20
Andone;DEP;1600001.600;26;84%;10;32%;16;52%;16;52%;6;0;0;7;0;0;30
Bacca;VIL;2010002.010;29;94%;9;29%;24;77%;20;65%;9;0;0;10;1;0;26
Bale;RMA;1440001.440;21;68%;7;23%;16;52%;14;45%;4;0;0;11;1;0;17
Beauvue;LEG;1350001.350;22;71%;6;19%;14;45%;16;52%;4;0;0;2;0;0;17
Ben Yedder;SEV;1475001.475;21;68%;12;39%;16;52%;9;29%;1;0;0;6;0;0;26
Benzema;RMA;1587001.587;24;77%;9;29%;18;58%;15;48%;0;0;0;5;2;0;19
Boateng;LEV;83900839;20;65%;2;6%;5;16%;18;58%;4;0;0;2;0;0;15
Bojan;ALA;37500375;12;39%;0;0%;3;10%;12;39%;0;0;0;0;0;0;10
Borja Bastón;MGA;89400894;17;55%;5;16%;8;26%;12;39%;2;0;0;2;1;0;14
Borja Mayoral;RMA;18400184;10;32%;0;0%;2;6%;10;32%;0;0;0;1;0;0;4
Borja Valle;DEP;11400114;11;35%;0;0%;0;0%;11;35%;0;0;0;0;0;0;1
Bueno;MGA;14000140;6;19%;0;0%;1;3%;6;19%;0;0;0;0;0;0;2
Burgui;ALA;89900899;20;65%;1;3%;10;32%;19;61%;0;0;0;1;0;0;11
Calleri;LPA;2537002.537;30;97%;23;74%;28;90%;7;23%;5;0;0;7;3;0;57
Charles;EIB;1448001.448;27;87%;7;23%;17;55%;20;65%;4;1;0;7;1;0;19
Christian Santos;ALA;43300433;10;32%;3;10%;5;16%;7;23%;2;1;1;2;0;0;8
Diego Costa;ATM;89200892;12;39%;4;13%;11;35%;8;26%;4;1;1;3;0;0;4
Diego Rolan;MGA;1421001.421;20;65%;13;42%;15;48%;7;23%;0;0;0;4;0;0;29
Enes Ünal;VIL;1615001.615;26;84%;12;39%;17;55%;14;45%;1;0;0;6;0;0;24
Fernando Torres;ATM;50100501;20;65%;0;0%;3;10%;20;65%;0;0;0;2;0;0;3
Ferrán Torres;VAL;15600156;8;26%;0;0%;1;3%;8;26%;0;0;0;0;0;0;2
Gameiro;ATM;79400794;20;65%;0;0%;8;26%;20;65%;0;0;0;6;1;0;5
Gerard;ESP;2790002.790;31;100%;31;100%;31;100%;0;0%;4;0;0;12;1;0;38
Griezmann;ATM;2261002.261;27;87%;16;52%;27;87%;11;35%;5;1;0;18;2;0;11
Guidetti;ALA;91200912;19;61%;1;3%;10;32%;18;58%;2;0;0;1;0;0;7
Hernán Pérez;ALA;51000510;14;45%;2;6%;5;16%;12;39%;3;0;0;0;0;0;10
Hernán Toledo;LPA;59800598;14;45%;4;13%;6;19%;10;32%;2;0;0;0;0;0;14
Iago Aspas;CEL;2681002.681;30;97%;28;90%;30;97%;2;6%;8;0;0;19;2;0;42
Ideye;MGA;47800478;7;23%;4;13%;5;16%;3;10%;2;0;0;1;0;0;8
Imoh Ezekiel;LPA;15300153;4;13%;1;3%;1;3%;3;10%;0;0;0;0;0;0;3
Ivi;LEV;1645001.645;27;87%;9;29%;16;52%;18;58%;3;0;0;4;1;0;27
J. Naranjo;LEG;41800418;13;42%;0;0%;4;13%;13;42%;2;0;0;0;0;0;4
Jon Bautista;RSO;16100161;9;29%;0;0%;1;3%;9;29%;0;0;0;1;0;0;5
Jorge Molina;GET;2411002.411;30;97%;17;55%;27;87%;13;42%;8;0;0;7;3;0;24
Jose Arnáiz;BAR;5005;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
Juanjo Narváez;BET;30400304;7;23%;1;3%;4;13%;6;19%;0;0;0;0;0;0;10
Juanmi;RSO;1178001.178;24;77%;2;6%;15;48%;22;71%;2;0;0;6;0;0;21
Kike;EIB;2050002.050;29;94%;14;45%;23;74%;15;48%;3;0;0;5;0;0;32
Loren;BET;67600676;9;29%;3;10%;8;26%;6;19%;2;0;0;5;0;0;9
Lozano;GIR;19200192;8;26%;1;3%;1;3%;7;23%;0;0;0;1;0;0;8
Loïc Remy;GET;93400934;18;58%;6;19%;8;26%;12;39%;1;1;1;5;0;0;24
Lucas Boyé;CEL;14400144;8;26%;0;0%;1;3%;8;26%;1;0;0;0;0;0;2
Lucas Pérez;DEP;2225002.225;28;90%;22;71%;25;81%;6;19%;3;0;0;5;3;0;51
Lucas Vázquez;RMA;1239001.239;26;84%;9;29%;12;39%;17;55%;2;0;0;3;0;0;17
Luis Muriel;SEV;1428001.428;24;77%;9;29%;15;48%;15;48%;4;0;0;7;0;0;29
Luis Suárez;BAR;2421002.421;27;87%;24;77%;27;87%;3;10%;5;0;0;22;0;0;15
Léo Baptistão;ESP;2198002.198;29;94%;14;45%;26;84%;15;48%;4;0;0;6;0;0;31
M. Guerrero;LEG;99500995;16;52%;10;32%;10;32%;6;19%;3;0;0;2;0;0;16
M. Gómez;CEL;2519002.519;29;94%;20;65%;29;94%;9;29%;10;0;0;13;0;0;38
Messi;BAR;2583002.583;30;97%;28;90%;28;90%;2;6%;2;0;0;29;2;0;14
Mikel Oyarzabal;RSO;2237002.237;28;90%;15;48%;25;81%;13;42%;4;0;0;9;0;0;40
Muniain ;ATH;41900419;7;23%;3;10%;4;13%;4;13%;0;0;0;2;0;0;6
Munir;ALA;2079002.079;27;87%;9;29%;24;77%;18;58%;6;1;1;7;0;0;31
Nano;LEV;27400274;9;29%;0;0%;2;6%;9;29%;1;0;0;0;0;0;4
Nolito;SEV;1260001.260;24;77%;5;16%;13;42%;19;61%;4;0;0;3;0;0;29
Olunga;GIR;31500315;10;32%;1;3%;3;10%;9;29%;0;0;0;3;0;0;6
Pazzini;LEV;40000400;7;23%;2;6%;5;16%;5;16%;0;0;0;1;0;0;10
Peñaranda;MGA;80700807;13;42%;3;10%;11;35%;10;32%;3;0;0;0;0;0;16
Piatti;ESP;1574001.574;26;84%;4;13%;20;65%;22;71%;0;0;0;1;0;0;19
Portu;GIR;2527002.527;31;100%;11;35%;30;97%;20;65%;3;0;0;11;0;0;41
